lesson_name,start_timestamp,lesson_index,note
001_version_bump,2021-04-16 14:07:20 UTC,0,
001_version_bump,2021-04-16 14:25:04 UTC,1,
001_version_bump,2021-04-16 14:25:58 UTC,6,
001_version_bump,2022-05-13 05:50:16 UTC,0,
001_version_bump,2022-05-13 05:50:41 UTC,1,
001_version_bump,2022-05-13 05:50:45 UTC,2,
001_version_bump,2022-05-13 05:50:46 UTC,3,
001_version_bump,2022-05-13 05:50:53 UTC,4,
001_version_bump,2022-05-13 05:50:57 UTC,5,
001_version_bump,2022-05-13 05:50:59 UTC,6,
001_version_bump,2022-05-13 05:55:02 UTC,0,
001_version_bump,2022-05-13 05:55:07 UTC,1,
001_version_bump,2022-05-13 05:55:08 UTC,2,
001_version_bump,2022-05-13 05:55:10 UTC,3,
001_version_bump,2022-05-13 05:55:11 UTC,4,
001_version_bump,2022-05-13 05:55:13 UTC,5,
001_version_bump,2022-05-13 05:55:14 UTC,6,
001_version_bump,2022-05-13 06:00:52 UTC,0,
001_version_bump,2022-05-13 06:00:56 UTC,1,
001_version_bump,2022-05-13 06:00:58 UTC,2,
001_version_bump,2022-05-13 06:00:59 UTC,3,
001_version_bump,2022-05-13 06:01:01 UTC,4,
001_version_bump,2022-05-13 06:01:03 UTC,5,
001_version_bump,2022-05-13 06:01:06 UTC,6,
001_version_bump,2022-05-13 06:04:31 UTC,0,
001_version_bump,2022-05-13 06:04:34 UTC,1,
001_version_bump,2022-05-13 06:04:36 UTC,2,
001_version_bump,2022-05-13 06:04:38 UTC,3,
001_version_bump,2022-05-13 06:04:39 UTC,4,
001_version_bump,2022-05-13 06:04:41 UTC,5,
001_version_bump,2022-05-13 06:04:43 UTC,6,
001_version_bump,2022-05-13 06:06:51 UTC,0,
001_version_bump,2022-05-13 06:06:55 UTC,1,
001_version_bump,2022-05-13 06:06:56 UTC,2,
001_version_bump,2022-05-13 06:06:58 UTC,3,
001_version_bump,2022-05-13 06:06:59 UTC,4,
001_version_bump,2022-05-13 06:07:01 UTC,5,
001_version_bump,2022-05-13 06:07:02 UTC,6,
